ZeroSignal,HighAmplitudeIndex,ClippingIndex,AvgSignalAmplitude,BackgroundNoise,Snr,AvgSnrOfActiveFrames,Activity,EventsPerSecond,HighFreqCover,MidFreqCover,LowFreqCover,AcousticComplexity,TemporalEntropy,EntropyOfAverageSpectrum,EntropyOfVarianceSpectrum,EntropyOfPeaksSpectrum,EntropyOfCoVSpectrum,ClusterCount,ThreeGramCount,Ndsi,SptDensity,RankOrder,FileName,ResultStartSeconds,SegmentDurationSeconds,ResultMinute
0,2,0,-33.7003455020251,-34.9504935634319,34.9504935634319,34.9504935634319,0.00408997955010225,0.5,0.0323589558522796,0.00593448013152092,0.0250511247443762,0.565078999418953,0.789131816966333,0.0540086342622538,0.130630347909805,0.992520461776952,0.0504257694646482,0,0,0.686227348430087,2.71779141104294,0,botanic_gardens,0,1,0
0,0,0,-34.9259311197597,-34.9504935634319,7.13836292887506,6.67338462016006,0.00613496932515337,0,0.035992822486868,0.0027266530334015,0.0666194745949347,0.406413122654192,0.0278653084526569,0.592978736266464,0.633333063875717,0.981759658909833,0.0308582611144944,0,0,0.643242880983545,4.56032719836401,1,botanic_gardens,1,1,0
0,0,0,-32.378254355788,-35.1893267136956,16.739664521819,9.08845590815881,0.137014314928425,13,0.0641064196639801,0.0913027787802237,0.187116564417178,0.500660702960575,0.0999873720152883,0.243715830868925,0.5552099604563,0.654817509687817,0.337266319369011,0,0,0.622789341223917,8.01431492842536,2,botanic_gardens,2,1,0
0,0,0,-34.2547417875344,-33.2136880227858,6.88359179859602,6.40021477782598,0.00613496932515337,0,0.0411854926019488,0.00268655519467501,0.0117193644801007,0.407907238498406,0.0345506015584551,0,0,1,-4.44089209850063E-16,0,0,0.314127729581633,3.21063394683027,3,botanic_gardens,3,1,0
0,0,0,-33.0742103222888,-34.8423668218932,19.304488017635,9.97214932845793,0.081799591002045,8.5,0.0452053009342796,0.00232567464613658,0.01852288815479,0.407672720879593,0.146738336317435,0.55458763068762,0.575876118414529,0.990496497932463,0.0359957809726481,0,0,0.36069337291434,4.63803680981595,4,botanic_gardens,4,1,0
0,0,0,-21.502195543218,-36.0847466809193,31.3185664826825,15.4093625439998,0.619631901840491,29.5,0.175242591924295,0.105738000721761,0.121755545068429,0.420375546127168,0.231546334441693,0.0301850132819477,0.0855223351648955,0.790594704143998,0.0177592067687646,0,0,-0.755090562568361,10.2372188139059,5,botanic_gardens,5,1,0
0,0,0,-34.1978547821887,-36.0655729959896,12.1680729770604,7.80713554604669,0.0674846625766871,9.5,0.0388748546453346,0.00128313083924776,0.0101856221488123,0.406992544929762,0.047333490850186,0,0,1,-4.44089209850063E-16,0,0,0.361071854276943,4.46216768916155,6,botanic_gardens,6,1,0
0,0,0,-34.5475651008261,-36.0814583396542,12.183958320725,7.76679270851666,0.0368098159509202,3.5,0.033677172300413,0.00356870764665785,0.017579046720151,0.41002956818897,0.0384943880486359,0,0,1,-4.44089209850063E-16,0,0,0.504183755134451,3.55828220858896,7,botanic_gardens,7,1,0
0,0,0,-30.5323950290174,-36.0882164789715,27.69193475657,12.4568530878118,0.177914110429448,16,0.0766219575764866,0.0105457315850676,0.0264275601698915,0.410215159501006,0.297066056829525,0.209177258794123,0.269427679137786,0.964808290658912,0.537325843232044,0,0,0.0474701502239273,6.50715746421268,8,botanic_gardens,8,1,0
0,0,0,-35.5524298823662,-36.1847466809192,6.68805986036673,6.48150327601442,0.00408997955010225,0,0.0330606680299932,0.0038092946790168,0.0179723139845839,0.407550208764612,0.0261375222102398,0,0,1,-4.44089209850063E-16,0,0,0.440309752603786,3.56237218813906,9,botanic_gardens,9,1,0
0,0,0,-32.5510742800346,-34.9324263032254,14.0083475305236,8.66526768168492,0.122699386503067,19,0.0633545851878584,0.00336821845302538,0.0237533427717477,0.406339836612201,0.0870775994002805,0,0,1,-4.44089209850063E-16,0,0,0.293129675446609,6.28834355828221,10,botanic_gardens,10,1,0
0,0,0,-32.3678014240197,-36.4045087886019,16.1743112496381,8.7808936834194,0.21881390593047,30.5,0.0748325915233169,0.00581418661534144,0.0177363536259242,0.39849637987198,0.0852522050804014,0,0,1,-4.44089209850063E-16,0,0,0.332653449002326,5.88752556237219,11,botanic_gardens,11,1,0
0,0,0,-32.2729060056328,-34.5045087886019,15.9162628135074,9.14632202725228,0.134969325153374,15,0.0720257428124624,0.00457115361482016,0.0282365895862828,0.404023365734963,0.115593021968597,0.566245772460761,0.581163957815791,0.992520461776952,0.0309082206196782,0,0,0.193651715909251,6.02249488752556,12,botanic_gardens,12,1,0
0,0,0,-35.560034830002,-35.6966081508677,5.4052289586583,0,0,0,0.0310507638638277,0.00244596816231605,0.0201352839389649,0.403344453669712,0.024186476541609,0,0,1,-4.44089209850063E-16,0,0,0.291392185980211,3.83026584867076,13,botanic_gardens,13,1,0
0,0,0,-31.5345746008598,-34.1324263032254,19.5146121614818,9.63096528721842,0.153374233128834,12.5,0.0792383415533903,0.0021652832912306,0.0276466886896335,0.400324313183252,0.162323313839456,0.726020567389175,0.723692672501898,0.996259697986442,0.0149703300973827,0,0,0.351955938033263,6.99795501022495,14,botanic_gardens,14,1,0
0,0,0,-32.933129218919,-34.9526990242295,15.9632817503288,10.0514248106838,0.0940695296523517,5.5,0.0620012831308392,0.00521271903444405,0.0241466100361806,0.463246502633916,0.125919751491228,0.140372132809705,0.256306649077721,0.988782293560041,0.140585778530035,0,0,0.0429678454699183,5.5521472392638,15,botanic_gardens,15,1,0
0,0,0,-35.2753760329771,-35.3652990547737,6.80509457266543,6.4922526228931,0.00408997955010225,0,0.0426340270259433,0.00232567464613657,0.0207251848356143,0.408144498107637,0.0290465679597511,0,0,1,-4.44089209850063E-16,0,0,0.393352819372658,5.21267893660532,16,botanic_gardens,16,1,0
0,0,0,-35.0737116460421,-37.0526990242295,11.9977322874294,7.56444729582343,0.0470347648261759,5,0.0429297485865512,0.00445086009864069,0.0361805883278276,0.417981511253943,0.035962004576676,0.191803397292229,0.315854040927964,0.988782293560041,0.256023647719453,0,0,0.434745143357216,4.92024539877301,17,botanic_gardens,17,1,0
0,0,0,-36.0231329136413,-36.516130274316,7.36832125938765,6.73033252321175,0.0102249488752556,0,0.0301886603312082,0.00356870764665785,0.0181296208903571,0.414565482199145,0.0274796589756997,0,0,1,-4.44089209850063E-16,0,0,0.261913149130242,3.51124744376278,18,botanic_gardens,18,1,0
